district,dist_id,pop,jews,dist,name,name_pl,name_he
Biala,1,131460,7742,Biala,Biała,Biała,ביאלה
Bochnia,3,113742,6964,Bochnia,Bochnia,Bochnia,בוכניה
Bohorodczany,4,54961,7321,Bohorodczany,Bohorodczany,Bohorodczany,בוהורודצ'אני
Borszczów,5,111330,16899,Borszczów,Borszczów,Borszczów,בורשצ'יב
Brody,6,160665,26067,Brody,Brody,Brody,ברודי
Brzesko,7,105372,5702,Brzesko,Brzesko,Brzesko,בז'סקו
Brzeżany,8,105018,10866,Brzeżany,Brzeżany,Brzeżany,בז'ז'ני
Brzozów,9,90352,5367,Brzozów,Brzozów,Brzozów,ברעזעווע
Buczacz,10,134483,15879,Buczacz,Buczacz,Buczacz,בוצ'אץ'
Bóbrka,2,84007,12182,Bóbrka,Bóbrka,Bóbrka,בוברקה
Chrzanów,11,94997,9608,Chrzanów,Chrzanów,Chrzanów,כשאנוב
Cieszanów,12,90911,10310,Cieszanów,Cieszanów,Cieszanów,צ'שאנוב
Czortków,13,72054,8223,Czortków,Czortków,Czortków,צ'ורטקוב
Dobromil,15,67531,8011,Dobromil,Dobromil,Dobromil,דוברומיל
Dolina,16,107114,13719,Dolina,Dolina,Dolina,דולינה
Drohobycz,17,162684,30257,Drohobycz,Drohobycz,Drohobycz,דרוהוביץ'
Dąbrowa,14,73813,5625,Dąbrowa,Dąbrowa,Dąbrowa,דומברובה
Gorlice,18,75342,5598,Gorlice,Gorlice,Gorlice,גורליצה
Grybów,20,54303,2758,Grybów,Grybów,Grybów,גריבאוו
Gródek,19,60464,2926,Gródek,Gródek,Gródek,גרודק
Horodenka,21,94002,10746,Horodenka,Horodenka,Horodenka,הורדנקה
Husiatyn,22,104629,12192,Husiatyn,Husiatyn,Husiatyn,הוסיאטין
Jaroslau,23,158088,13938,Jaroslau,"Jaroslau, Jarosław","Jarosław",יארוסלאב
Jasło,24,87669,5267,Jasło,Jasło,Jasło,יאסלו
Jaworów,25,71718,6049,Jaworów,Jaworów,Jaworów,יאַוואָראָוו
Kamionka Strumiłowa,27,114114,13955,Kamionka Strumiłowa,Kamionka Strumiłowa,Kamionka Strumiłowa,קאמיונקה סטרומילובה
Kałusz,26,81147,8482,Kałusz,Kałusz,Kałusz,קאַלוש
Kolbuszowa,28,74837,6606,Kolbuszowa,Kolbuszowa,Kolbuszowa,קולבושובה
Kolomea,29,142943,21372,Kolomea,"Kołomea, Kołomyja","Kołomyja",קולומיאה
Kosów,30,84306,10494,Kosów,Kosów,Kosów,קוסוב
Krakau,31,108562,2793,Krakau,"Krakau, Kraków","Kraków",קראקוב
Krosno,32,91304,6831,Krosno,Krosno,Krosno,קרוסנו
Lemberg,34,117744,10077,Lemberg,"Lemberg, Lwów","Lwów",לעמבערג
Limanowa,35,84052,2527,Limanowa,Limanowa,Limanowa,לימאנובה
Lisko,36,95616,13095,Lisko,Lisko,Lisko,לסקו
Mielec,37,74853,7507,Mielec,Mielec,Mielec,מיילץ
Mościska,38,55554,6341,Mościska,Mościska,Mościska,מושצ'יסקה
Myślenice,39,86819,1723,Myślenice,Myślenice,Myślenice,מישלאניץ
Nadwórna,40,84186,10564,Nadwórna,Nadwórna,Nadwórna,נדבורנה
Neumarkt,41,80179,2482,Neumarkt,"Neumarkt, Nowy Targ","Nowy Targ",נובי טראג
Neusandez,42,123426,10549,Neusandez,"Neusandez, Nowy Sącz","Nowy Sącz",צאנז
Nisko,43,59859,5224,Nisko,Nisko,Nisko,ניסקו
Peczeniżyn,44,35403,4609,Peczeniżyn,Peczeniżyn,Peczeniżyn,פצ'ניז'ין
Pilzno,45,51609,2923,Pilzno,Pilzno,Pilzno,פילזנה
Podgórze,46,62642,6813,Podgórze,Podgórze,Podgórze,פודגוז'ה
Podhajce,47,88956,8081,Podhajce,Podhajce,Podhajce,פודהאיצה
Przemyśl,48,191653,21130,Przemyśl,Przemyśl,Przemyśl,פרעמיסלא
Przemyślany,49,81207,9330,Przemyślany,Przemyślany,Przemyślany,פרעמישלאן
Przeworsk,50,47623,3459,Przeworsk,Przeworsk,Przeworsk,פשבורסק
Rawa Ruska,51,86676,14435,Rawa Ruska,Rawa Ruska,Rawa Ruska,רווה-רוסקה
Rohatyn,52,100063,15741,Rohatyn,Rohatyn,Rohatyn,רוהאטין
Ropczyce,53,85660,8081,Ropczyce,Ropczyce,Ropczyce,רופשיץ
Rudki,54,58431,5703,Rudki,Rudki,Rudki,רודקי
Rzeszów,55,145818,11009,Rzeszów,Rzeszów,Rzeszów,רײַשע
Sambor,56,87096,7635,Sambor,Sambor,Sambor,סאמבור
Sanok,57,105631,10298,Sanok,Sanok,Sanok,סאנוק
Saybusch,58,171509,2502,Saybusch,"Saybusch, Żywiec","Żywiec",ז'יוויץ
Skałat,59,81479,12526,Skałat,Skałat,Skałat,סקאלאט
Sokal,61,97440,13126,Sokal,Sokal,Sokal,סוקאל
Stanislau,62,160051,25522,Stanislau,"Stanislau, Stanisławów","Stanisławów",סטאניסלאוו
Stary Sambor,63,53761,6539,Stary Sambor,Stary Sambor,Stary Sambor,סטארי סמביר
Stryj,64,100003,7227,Stryj,Stryj,Stryj,סטרי
Strzyżów,65,55727,3862,Strzyżów,Strzyżów,Strzyżów,סטרז'וב
Tarnobrzeg,66,81368,8077,Tarnobrzeg,Tarnobrzeg,Tarnobrzeg,דזשיקאוו
Tarnopol,67,128468,19573,Tarnopol,Tarnopol,Tarnopol,טארנאפאל
Tarnów,68,157295,16027,Tarnów,Tarnów,Tarnów,טרנוב
Trembowla,70,87941,8199,Trembowla,Trembowla,Trembowla,טרבובליה
Turka,71,61310,7057,Turka,Turka,Turka,טורקה
Tłumacz,69,103745,10513,Tłumacz,Tłumacz,Tłumacz,טלומאץ'
Wadowice,72,115287,4352,Wadowice,Wadowice,Wadowice,ואדוביצה
Wieliczka,73,75945,3631,Wieliczka,Wieliczka,Wieliczka,ויאליצ'קה
Zaleszczyki,74,70199,5652,Zaleszczyki,Zaleszczyki,Zaleszczyki,זאלישטשיק
Zbaraż,75,68253,5011,Zbaraż,Zbaraż,Zbaraż,זברז'
Złoczów,76,171125,23003,Złoczów,Złoczów,Złoczów,זלוטשוב
Łańcut,33,91567,7188,Łańcut,Łańcut,Łańcut,לאנצהוט
Śniatyn,60,86700,9198,Śniatyn,Śniatyn,Śniatyn,סניאטין
Żydaczów,78,65826,6873,Żydaczów,Żydaczów,Żydaczów,ז'ידאצ'וב
Żółkiew,77,107678,10332,Żółkiew,Żółkiew,Żółkiew,ז'ובקבה
